step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
0,0.0,7.316610793757748,5.696812631965454,1.6197981617922945,1.6197981617922945,1.6197981617922945,0.0,0,1.0006438,1.0076511,-83.12028879561957,1.0006438,1.0012833,1.001884,1.0024978,1.0031738,1.003858,1.0046064,1.0053473,1.0061315,1.0068549,1.0076511
1,0.25,8.131499396844687,4.523364542594028,3.6081348542506584,3.6081348542506584,3.6081348542506584,0.0,0,1.001269,1.0155568,-94.49108976177558,1.001269,1.0025599,1.0038397,1.0051322,1.006489,1.0079012,1.0094091,1.0109162,1.0124704,1.0139763,1.0155568
2,0.5,9.262128584013555,3.917869257715558,5.344259326297997,5.344259326297997,5.344259326297997,0.0,0,1.0019026,1.0232921,-104.47658201132313,1.0019026,1.0038186,1.0057447,1.0077422,1.0098143,1.0119536,1.0141852,1.0164171,1.0186763,1.0209392,1.0232921
3,0.75,9.10879767193719,3.232097610769914,5.876700061167275,5.876700061167275,5.876700061167275,0.0,0,1.0017071,1.0214053,-44.682140256902564,1.0017071,1.0034385,1.0052031,1.0070282,1.0089115,1.0108904,1.0129364,1.0149891,1.0170904,1.0192056,1.0214053
4,1.0,10.467036382481849,2.7521714111351208,7.714864971346728,7.714864971346728,7.714864971346728,0.0,0,1.0015585,1.0208045,-49.20243287965625,1.0015585,1.0031484,1.0047562,1.0064802,1.0082748,1.0102173,1.01228,1.0143565,1.0164717,1.0186031,1.0208045
5,1.25,11.356911782396974,2.1457263862353626,9.21118539616161,9.21118539616161,9.21118539616161,0.0,0,1.0014386,1.0201528,-55.486978663878766,1.0014386,1.0029317,1.0044407,1.0060825,1.0077947,1.0096759,1.0116973,1.0137357,1.0158308,1.01795,1.0201528
6,1.5,12.053202840933732,1.6745734848663882,10.378629356067345,10.378629356067345,10.378629356067345,0.0,0,1.0013444,1.0197471,-60.39024329548283,1.0013444,1.0027297,1.0041473,1.0057459,1.0074091,1.0092643,1.0112537,1.0132949,1.0154088,1.0175436,1.0197471
7,1.75,11.700775717741651,1.0532390607828728,10.647536656958778,10.647536656958778,10.647536656958778,0.0,0,1.0013243,1.0195415,-61.519653959226865,1.0013243,1.0026942,1.0040958,1.0056808,1.0073199,1.0091497,1.0111281,1.0131435,1.0152142,1.0173376,1.0195415
8,2.0,13.228073774666715,0.5813423201081466,12.646731454558568,12.646731454558568,12.646731454558568,0.0,0,1.0011629,1.0187176,-69.91627210914598,1.0011629,1.0023836,1.0036665,1.0051395,1.006677,1.0084492,1.010397,1.0123632,1.0143995,1.0165118,1.0187176
9,2.25,14.224721225588913,0.054541554105975595,14.170179671482938,14.170179671482938,14.170179671482938,0.0,0,1.0010414,1.017721,-76.31475462022836,1.0010414,1.0021405,1.0033096,1.0047033,1.006117,1.0077733,1.0096163,1.0114958,1.0134537,1.015513,1.017721
10,2.5,15.805451205374027,0.0414781808931849,15.763973024480842,15.763973024480842,15.763973024480842,0.0,0,1.0009114,1.0170579,-83.00868670281952,1.0009114,1.0018812,1.0029002,1.0041839,1.0055131,1.0071352,1.0089445,1.010809,1.0127779,1.0148485,1.0170579
11,2.75,17.34879797783155,0.0278195783088351,17.320978399522712,17.320978399522712,17.320978399522712,0.0,0,1.0007844,1.0164137,-89.5481092779954,1.0007844,1.001656,1.0025852,1.0037762,1.0050546,1.0066012,1.0083703,1.0102096,1.0121523,1.0142028,1.0164137
12,3.0,18.648756629576077,0.0140060700099305,18.634750559566147,18.634750559566147,18.634750559566147,0.0,0,0.9998802,1.0073129,-153.0659523501778,0.99989194,0.9998802,0.99996006,1.0003176,1.0007452,1.0014603,1.0024298,1.0034592,1.0046055,1.005879,1.0073129
13,3.25,20.88875580931877,0.0,20.88875580931877,20.88875580931877,20.88875580931877,0.0,0,0.9956916,0.9989061,-156.53277439913884,0.9989061,0.9979169,0.9970099,0.99641067,0.99589,0.9956916,0.99575037,0.9958975,0.99618936,0.9966242,0.9972679
14,3.5,23.0267015448605,0.0,23.0267015448605,23.0267015448605,23.0267015448605,0.0,0,0.98904467,0.9980437,-138.3121464884141,0.9980437,0.9962238,0.99453074,0.99316597,0.9919076,0.9909844,0.99033403,0.9897633,0.9893426,0.9890771,0.98904467
15,3.75,23.43946083975031,0.0,23.43946083975031,23.43946083975031,23.43946083975031,0.0,0,0.9891203,0.99800956,-98.4457355269513,0.99800956,0.9961666,0.9944458,0.993072,0.9918186,0.9909265,0.99031585,0.9897947,0.9894073,0.9891528,0.9891203
16,4.0,24.809856058149176,0.0,24.809856058149176,24.809856058149176,24.809856058149176,0.0,0,0.98813397,0.9978939,-104.20139544422655,0.9978939,0.9959353,0.994111,0.9926048,0.9912196,0.9901978,0.9895016,0.98890615,0.9884405,0.98816645,0.98813397
17,4.25,25.89202880659333,0.0,25.89202880659333,25.89202880659333,25.89202880659333,0.0,0,0.987481,0.9978028,-108.74652098769198,0.9978028,0.9957647,0.99388546,0.9922933,0.990844,0.989733,0.98895246,0.98830336,0.9878175,0.9875135,0.987481
18,4.5,25.94472372681065,0.0,25.94472372681065,25.94472372681065,25.94472372681065,0.0,0,0.9875594,0.99779874,-108.96783965260472,0.99779874,0.9957999,0.99395,0.99237776,0.9909646,0.9898392,0.9890499,0.98839074,0.98790586,0.98759186,0.9875594
