step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
0,0.0,11.89163367577601,0.0,11.89163367577601,11.89163367577601,11.89163367577601,0.0,0,0.99981076,1.0047367,-119.94486143825925,0.99981076,0.9998221,1.0000424,1.0003275,1.0007776,1.0012898,1.0018572,1.0025172,1.0032035,1.0039382,1.0047367
1,0.25,9.970746218393158,0.0,9.970746218393158,9.970746218393158,9.970746218393158,0.0,0,1.0000381,1.006061,-49.2009646859082,1.0000381,1.0002424,1.000589,1.0010097,1.001584,1.0021908,1.0028673,1.0036119,1.004388,1.0051942,1.006061
2,0.5,8.279235932293629,0.0,8.279235932293629,8.279235932293629,8.279235932293629,0.0,0,1.0001457,1.0059985,-41.3123588289444,1.0001457,1.0004132,1.0007854,1.0012124,1.0017506,1.0023578,1.0030118,1.0036902,1.0044029,1.0051638,1.0059985
3,0.75,8.743045211075902,0.32776665356676254,8.41527855750914,8.41527855750914,8.41527855750914,0.0,0,1.0001063,1.0053537,-41.625985710731996,1.0001063,1.0003088,1.000578,1.00093,1.0013567,1.0018756,1.0024692,1.0031103,1.0037999,1.0045462,1.0053537
4,1.0,6.628382574892156,0.0,6.628382574892156,6.628382574892156,6.628382574892156,0.0,0,1.0002241,1.005709,-33.9170671168471,1.0002241,1.0005033,1.0008376,1.001259,1.0017169,1.0022556,1.0028772,1.003534,1.004207,1.0049319,1.005709
5,1.25,6.890996152522225,0.0,6.890996152522225,6.890996152522225,6.890996152522225,0.0,0,1.0001786,1.0051357,-34.78109126404823,1.0001786,1.000406,1.0006695,1.0010115,1.0014137,1.0019163,1.0025011,1.0030984,1.003724,1.0043824,1.0051357
6,1.5,6.634771585539398,0.2183072269703771,6.416464358569021,6.416464358569021,6.416464358569021,0.0,0,1.0001903,1.0049666,-32.61047974107923,1.0001903,1.0004342,1.000722,1.0010601,1.0014595,1.0019156,1.0024459,1.0030003,1.0035977,1.0042402,1.0049666
7,1.75,5.66970253302344,0.0,5.66970253302344,5.66970253302344,5.66970253302344,0.0,0,1.0002255,1.0052507,-29.27044516705119,1.0002255,1.000514,1.0008541,1.0012472,1.0016663,1.0021533,1.0027186,1.0033078,1.0039206,1.004551,1.0052507
8,2.0,6.915843690156571,0.0,6.915843690156571,6.915843690156571,6.915843690156571,0.0,0,1.0000986,1.004286,-34.30098458505482,1.0000986,1.0002391,1.0004251,1.0006826,1.0010049,1.0014148,1.0019114,1.0024422,1.0030131,1.0036101,1.004286
9,2.25,6.219734979702743,0.0,6.219734979702743,6.219734979702743,6.219734979702743,0.0,0,1.000123,1.0043582,-31.21505477668159,1.000123,1.0003245,1.0005614,1.0008584,1.0012012,1.001601,1.0020806,1.0025879,1.0031365,1.0037153,1.0043582
10,2.5,6.012839692311151,0.0,6.012839692311151,6.012839692311151,6.012839692311151,0.0,0,1.0001088,1.004114,-30.095552775542057,1.0001088,1.0002812,1.0005133,1.0007955,1.0011349,1.0015609,1.0020136,1.002476,1.0029677,1.0035024,1.004114
11,2.75,6.251378836625456,1.6452927933576826,4.606086043267773,4.606086043267773,4.606086043267773,0.0,0,1.0001885,1.0041361,-23.955890822940997,1.0001885,1.0004145,1.0006616,1.0009495,1.0012797,1.0016583,1.0021073,1.0025716,1.0030509,1.0035573,1.0041361
12,3.0,5.908618981683808,0.47225979598645795,5.436359185697349,5.436359185697349,5.436359185697349,0.0,0,1.000096,1.003608,-27.178435610610165,1.000096,1.0002195,1.0003841,1.0006131,1.0009062,1.0012584,1.0016896,1.0021266,1.0025735,1.0030556,1.003608
