step,hour,total_load,total_solar,net_demand,grid_power,grid_import,grid_export,voltage_violations,min_voltage,max_voltage,reward,voltage_node_0,voltage_node_1,voltage_node_2,voltage_node_3,voltage_node_4,voltage_node_5,voltage_node_6,voltage_node_7,voltage_node_8,voltage_node_9,voltage_node_10
0,0.0,8.720531362235741,0.0,8.720531362235741,8.720531362235741,8.720531362235741,0.0,0,0.9991399,1.0004593,-49.64057040714029,0.9995847,0.999318,0.99920464,0.9991399,0.9991963,0.9992983,0.9994408,0.99965143,0.9998814,1.0001469,1.0004593
1,0.25,7.311880560154984,0.0,7.311880560154984,7.311880560154984,7.311880560154984,0.0,0,0.9993267,1.0005693,-33.05254688976844,0.99967295,0.99946946,0.9993703,0.9993267,0.9993959,0.99948895,0.99963325,0.9998277,1.0000452,1.0002849,1.0005693
2,0.5,6.0714396836819935,0.0,6.0714396836819935,6.0714396836819935,6.0714396836819935,0.0,0,0.99947107,1.0005113,-27.623045644112704,0.9997508,0.99959254,0.9995111,0.99947107,0.9995127,0.99960494,0.99973166,0.9998763,1.0000461,1.0002515,1.0005113
3,0.75,6.411566488122328,0.32776665356676254,6.083799834555565,6.083799834555565,6.083799834555565,0.0,0,0.99924165,1.0000558,-27.484452880166423,0.99972767,0.99952626,0.99937266,0.99927974,0.99924165,0.9992702,0.99935365,0.9994709,0.99962384,0.99981725,1.0000558
4,1.0,4.860813888254248,0.0,4.860813888254248,4.860813888254248,4.860813888254248,0.0,0,0.9994796,1.0002806,-22.189627298858852,0.9998067,0.99965537,0.9995445,0.9994986,0.9994796,0.9995199,0.9996212,0.99974835,0.99988747,1.0000648,1.0002806
5,1.25,5.053397178516299,0.0,5.053397178516299,5.053397178516299,5.053397178516299,0.0,0,0.99925035,0.99984497,-22.82450817365456,0.9997719,0.99958134,0.99941707,0.9993116,0.99925035,0.99926287,0.9993359,0.9994179,0.99952084,0.9996479,0.99984497
6,1.5,4.865499162728892,0.2183072269703771,4.647191935758515,4.647191935758515,4.647191935758515,0.0,0,0.99927336,0.99978405,-20.97920247192564,0.99978405,0.9996083,0.9994639,0.9993568,0.99929464,0.99927336,0.99930674,0.999357,0.99943894,0.99955326,0.9997294
7,1.75,4.157781857550522,0.0,4.157781857550522,4.157781857550522,4.157781857550522,0.0,0,0.9994262,0.99990976,-18.767028887085967,0.9998046,0.99965703,0.9995473,0.99947757,0.99942696,0.9994262,0.999483,0.9995575,0.9996491,0.99975395,0.99990976
8,2.0,5.07161870611482,0.0,5.07161870611482,5.07161870611482,5.07161870611482,0.0,0,0.9988739,0.9997098,-22.45199861668237,0.9997098,0.9994518,0.9992273,0.99905634,0.99893296,0.9988739,0.99887866,0.9989086,0.9989679,0.9990465,0.9991832
9,2.25,4.5611389851153445,0.0,4.5611389851153445,4.5611389851153445,4.5611389851153445,0.0,0,0.99899447,0.99972653,-22.94272183428438,0.99972653,0.9995122,0.9993238,0.9991807,0.999071,0.9990034,0.99899447,0.9990058,0.99904764,0.9991116,0.9992228
10,2.5,4.409415774361512,0.0,4.409415774361512,4.409415774361512,4.409415774361512,0.0,0,1.0005368,1.0080543,-112.11953266216082,1.0005368,1.0011206,1.0017482,1.0024136,1.0031208,1.0038915,1.0046816,1.005479,1.0062977,1.0071478,1.0080543
11,2.75,4.584344480192001,1.6452927933576826,2.939051686834318,2.939051686834318,2.939051686834318,0.0,0,1.0007024,1.0090195,-44.017395816505484,1.0007024,1.0014267,1.0021605,1.0029194,1.0037092,1.0045289,1.0054,1.0062765,1.007164,1.0080652,1.0090195
12,3.0,4.332987253234792,0.47225979598645795,3.8607274572483345,3.8607274572483345,3.8607274572483345,0.0,0,1.0006294,1.0087384,-47.415055320443,1.0006294,1.0012777,1.0019544,1.0026776,1.0034477,1.0042595,1.005129,1.006001,1.0068804,1.0077837,1.0087384
13,3.25,4.510567975069383,1.4432862169554859,3.0672817581138965,3.0672817581138965,3.0672817581138965,0.0,0,0.9997088,1.0003698,-82.74541210930114,0.9998962,0.9998089,0.9997389,0.9997088,0.9997175,0.99977875,0.99987835,0.9999846,1.0001032,1.0002093,1.0003698
14,3.5,5.627619728962353,0.5899511473132445,5.0376685816491085,5.0376685816491085,5.0376685816491085,0.0,0,0.997276,0.9995418,-24.358208042926258,0.9995418,0.99911916,0.998737,0.9984041,0.99810517,0.9978658,0.9976873,0.9975281,0.99740773,0.9973082,0.997276
15,3.75,3.6894490774163393,0.9012161767890986,2.7882329006272406,2.7882329006272406,2.7882329006272406,0.0,0,0.99826396,0.99972737,-11.710578182634412,0.99972737,0.99947435,0.9992304,0.99902403,0.99882853,0.9986643,0.99853754,0.99843544,0.99836147,0.9982961,0.99826396
16,4.0,4.12071825542994,0.0,4.12071825542994,4.12071825542994,4.12071825542994,0.0,0,0.9978776,0.9996191,-17.30701667280575,0.9996191,0.99928206,0.998983,0.9987297,0.9984952,0.9983097,0.9981861,0.99806976,0.99797165,0.9979098,0.9978776
17,4.25,4.071089600773579,0.0,4.071089600773579,4.071089600773579,4.071089600773579,0.0,0,0.99771804,0.9996232,-17.098576323249034,0.9996232,0.9992976,0.9989875,0.9987243,0.9984735,0.9982665,0.9980947,0.9979511,0.99783194,0.9977502,0.99771804
18,4.5,4.904427808786922,1.3802528883264764,3.5241749204604456,3.5241749204604456,3.5241749204604456,0.0,0,0.9979861,0.99966544,-14.801534665933875,0.99966544,0.9993519,0.999058,0.99879557,0.9985682,0.9983816,0.99825037,0.9981546,0.9980794,0.99801826,0.9979861
19,4.75,4.179321385859453,0.0,4.179321385859453,4.179321385859453,4.179321385859453,0.0,0,0.9976442,0.9996142,-17.5531498206097,0.9996142,0.9992571,0.99893004,0.99862725,0.998351,0.9981475,0.99799603,0.99786675,0.9977571,0.9976763,0.9976442
20,5.0,4.695629802758405,0.0,4.695629802758405,4.695629802758405,4.695629802758405,0.0,0,0.997655,0.9995715,-19.7216451715853,0.9995715,0.99918133,0.9988178,0.9985272,0.99827003,0.9980896,0.9979685,0.99785936,0.9977637,0.9976871,0.997655
21,5.25,4.982569002805009,0.0927178542989521,4.889851148506057,4.889851148506057,4.889851148506057,0.0,0,0.997466,0.99955523,-20.537374823725443,0.99955523,0.9991497,0.99878186,0.9984844,0.9982037,0.9979854,0.9978297,0.9976842,0.9975789,0.9974982,0.997466
22,5.5,5.6893764747051705,1.4325094890990469,4.256866985606123,4.256866985606123,4.256866985606123,0.0,0,0.99768364,0.99960464,-17.87884133954572,0.99960464,0.9992298,0.9988738,0.99857557,0.9983048,0.99812025,0.99799204,0.9978823,0.997792,0.9977158,0.99768364
23,5.75,5.314331477309975,0.0,5.314331477309975,5.314331477309975,5.314331477309975,0.0,0,0.9975792,0.99952036,-22.320192204701893,0.99952036,0.99909484,0.9987002,0.9984032,0.998119,0.9979499,0.9978468,0.9977509,0.99767554,0.9976114,0.9975792
24,6.0,6.704571080487962,0.0,6.704571080487962,6.704571080487962,6.704571080487962,0.0,0,0.9969829,0.99940515,-46.931997563415734,0.99940515,0.9988727,0.99838,0.99801284,0.9976743,0.99744976,0.9973087,0.9971748,0.9970839,0.99701506,0.9969829
