Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,30.017002,0.0,0.0,0.0,0.2,0.2,0.2,-30.017002,0,30.01700210571289,0.13766608
0.25,0.0,29.66129,-5.0,-1.3965441,-0.79346627,0.2059375,0.22456883,0.21395913,-36.8513,0,36.85129928588867,0.4091399
0.5,0.0,29.48607,-10.0,-1.75,-1.75,0.21781251,0.25535586,0.24474616,-42.98607,0,42.98606872558594,0.7494978
0.75,0.0,28.975744,-4.6994057,-1.75,-1.75,0.22339305,0.28614292,0.2755332,-37.17515,0,37.17515182495117,0.4090098
1.0,0.0,28.587399,-9.699406,-1.75,-1.75,0.2349111,0.31692997,0.30632025,-41.786804,0,41.78680419921875,0.775032
1.25,0.0,28.284626,-6.4530373,-1.75,-1.75,0.24257408,0.34771702,0.3371073,-38.237663,0,38.23766326904297,0.674377
1.5,0.0,28.03079,-11.453037,-1.75,-1.75,0.25617456,0.37850407,0.36789435,-42.983826,0,42.98382568359375,0.9845599
1.75,0.0,27.8717,-2.7792358,-1.75,-1.75,0.2594749,0.40929112,0.3986814,-34.150936,0,34.150936126708984,0.23627228
2.0,0.0,27.536844,-7.779236,-1.75,-1.75,0.26871276,0.44007817,0.42946845,-38.81608,0,38.816078186035156,0.83716965
2.25,0.0,27.404894,-12.26591,-1.75,-1.75,0.28327852,0.47086522,0.4602555,-43.170803,0,43.17080307006836,1.0919348
2.5,0.0,27.25968,-2.323871,-1.75,-1.75,0.28603813,0.50165224,0.49104255,-33.08355,0,33.08354949951172,0.44103613
2.75,0.0,27.09671,-7.3238707,-1.7126608,-1.75,0.29473522,0.5317824,0.5218296,-37.88324,0,37.88323974609375,0.81074786
3.0,0.0,27.034815,-12.323871,-1.75,-1.75,0.30936983,0.56256944,0.55261666,-42.858685,0,42.85868453979492,1.0881838
3.25,0.0,26.876558,-3.4400465,-1.75,-1.75,0.3134549,0.5933565,0.5834037,-33.816605,0,33.81660461425781,0.6046908
3.5,0.0,26.834183,-8.440046,-1.6222239,-1.75,0.32347745,0.6218956,0.61419076,-38.646454,0,38.646453857421875,0.92188954
3.75,0.0,26.549736,-13.217808,-1.75,-1.75,0.3391736,0.65268266,0.6449778,-43.267544,0,43.26754379272461,1.1593432
4.0,0.0,26.180569,-2.098323,-1.75,-1.75,0.34166536,0.6834697,0.67576486,-31.778893,0,31.778892517089844,0.46397692
4.25,0.0,25.959372,-7.098323,-1.0935272,-1.7154143,0.35009462,0.7027077,0.70594347,-35.866634,0,35.866634368896484,0.82420933
4.5,0.0,25.66804,-12.098323,-1.5568198,-1.75,0.36446136,0.7300962,0.7367305,-41.073185,0,41.073184967041016,1.059161
4.75,0.0,25.29041,-6.9275966,-1.7042698,-1.75,0.37268788,0.7600787,0.76751757,-35.672276,0,35.67227554321289,0.8151483
5.0,0.14142701,24.98503,-11.927597,-1.3110077,-1.75,0.3868519,0.78314275,0.7983046,-39.832207,0,39.83220672607422,1.0620582
5.25,0.240284,24.77018,-8.083104,-1.6884053,-1.75,0.39645058,0.8,0.8,-36.051407,0,36.05140686035156,0.8175725
5.5,0.356642,24.67186,-3.0831041,0.0,0.0,0.40011176,0.8,0.8,-27.39832,0,27.398319244384766,-0.8934654
5.75,0.55388296,24.508442,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.954561,0,23.954561233520508,-0.28078642
6.0,0.81356,24.429443,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.615883,0,23.615882873535156,-0.21393196
6.25,1.104928,24.510784,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.405855,0,23.405855178833008,-0.1930884
6.5,1.4464341,24.515026,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.068594,0,23.068593978881836,-0.16023071
6.75,1.6436751,24.965887,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.322208,0,23.322208404541016,-0.18797462
7.0,1.7940893,25.312994,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.518904,0,23.518903732299805,-0.21126595
7.25,1.8300371,26.01311,0.0,0.0,0.0,0.40011176,0.8,0.8,-24.183073,0,24.183073043823242,-0.50286955
7.5,1.7945619,26.762423,0.0,0.0,0.0,0.40011176,0.8,0.8,-24.96786,0,24.967859268188477,-0.58533067
7.75,1.8938918,27.337423,0.0,0.0,0.0,0.40011176,0.8,0.8,-25.443537,0,25.44353675842285,-0.6369442
8.0,2.6705582,28.0237,0.0,0.0,0.0,0.40011176,0.8,0.8,-25.353144,0,25.3531436920166,-0.6448128
8.25,4.346397,28.696314,0.0,0.0,0.0,0.40011176,0.8,0.8,-24.349918,0,24.349918365478516,-0.59131366
8.5,5.8779707,29.23708,0.0,0.0,0.0,0.40011176,0.8,0.8,-23.359108,0,23.359107971191406,-0.53237295
8.75,7.5358353,29.70216,0.0,0.0,0.0,0.40011176,0.8,0.8,-22.166325,0,22.166324615478516,-0.2369149
9.0,9.120859,30.193966,0.0,0.0,0.0,0.40011176,0.8,0.8,-21.073109,0,21.073108673095703,-0.17079455
9.25,10.953262,30.565031,0.0,0.0,0.0,0.40011176,0.8,0.8,-19.611769,0,19.61176872253418,-0.08435326
9.5,12.972027,30.928019,0.0,0.0,0.0,0.40011176,0.8,0.8,-17.955992,0,17.955991744995117,0.010759934
9.75,14.973761,31.220184,0.0,0.0,0.0,0.40011176,0.8,0.8,-16.246422,0,16.246421813964844,0.33693543
10.0,16.644398,31.139343,0.0,0.0,0.0,0.40011176,0.8,0.8,-14.494949,0,14.494949340820312,0.45862484
10.25,17.939472,31.383343,0.0,0.0,0.0,0.40011176,0.8,0.8,-13.443871,0,13.443870544433594,0.52140135
