Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,21.794422,0.0,0.0,0.0,0.2,0.2,0.2,-21.794422,0.0,21.794422149658203,1.5418557
0.25,0.0,18.25024,-5.0,-2.0,-2.0,0.205625,0.23333333,0.23333333,-27.25024,0.0,27.250240325927734,1.9486742
0.5,0.0,14.985617,-10.0,-4.0,-4.0,0.216875,0.3,0.3,-32.98562,0.0,32.985618591308594,2.1935422
0.75,0.3114778,15.542378,-15.0,-5.0,-5.0,0.23375,0.38333336,0.38333336,-40.2309,0.0,40.230899810791016,2.0338318
1.0,0.0,11.56105,-16.51537,-5.0,-5.0,0.2523298,0.4666667,0.4666667,-38.07642,0.0,38.076419830322266,2.4595284
1.25,0.0,11.936064,-9.678013,-3.0,-5.0,0.26321757,0.5166667,0.55,-29.614079,0.0,29.614078521728516,2.0837615
1.5,0.2333422,11.585265,-14.678013,-1.0,-5.0,0.27973032,0.53333336,0.6333333,-32.029938,0.0,32.029937744140625,2.476114
1.75,0.0,10.045148,-19.678013,0.0,-5.0,0.30186808,0.53333336,0.71666664,-34.72316,0.0,34.72315979003906,3.044299
2.0,0.0,11.904328,-11.511741,0.0,-4.7368436,0.3148188,0.53333336,0.795614,-28.152912,0.0,28.152912139892578,2.277599
2.25,0.0,11.114944,-16.511742,0.0,-2.7368436,0.3333945,0.53333336,0.8,-30.36353,0.0,30.363529205322266,2.8482985
2.5,0.0,10.619695,-21.511742,0.0,-0.7368436,0.3575952,0.53333336,0.8,-32.86828,0.0,32.86827850341797,3.3373635
2.75,1.6382825,10.977661,-12.366344,0.0,0.0,0.37150735,0.53333336,0.8,-21.705723,0.0,21.70572280883789,3.3779178
3.0,0.5105214,10.145358,-17.366344,0.0,0.0,0.3910445,0.53333336,0.8,-27.001179,0.0,27.001178741455078,3.3844843
3.25,1.4307777,10.679169,-22.366344,0.0,0.0,0.41620663,0.53333336,0.8,-31.614737,0.0,31.614736557006836,3.5467825
3.5,0.5691304,13.315534,-19.746342,0.0,0.0,0.43842125,0.53333336,0.8,-32.492744,0.0,32.49274444580078,2.8515942
3.75,0.9527354,8.755714,-17.655706,0.0,0.0,0.45828393,0.53333336,0.8,-25.458685,0.0,25.45868492126465,3.6050756
4.0,0.0,9.901176,-22.655706,0.0,0.0,0.4837716,0.53333336,0.8,-32.556885,0.0,32.556884765625,3.081013
4.25,0.0,9.891095,-11.737816,0.0,0.0,0.49697664,0.53333336,0.8,-21.62891,0.0,21.628910064697266,3.0452049
4.5,1.3658328,11.621401,-16.737816,0.0,0.0,0.5158067,0.53333336,0.8,-26.993383,0.0,26.993383407592773,2.979063
4.75,0.0,9.8255,-21.737816,0.0,0.0,0.54026175,0.53333336,0.8,-31.563316,0.0,31.563316345214844,3.054836
5.0,0.0,11.1296015,-15.93012,0.0,0.0,0.55818313,0.53333336,0.8,-27.059723,0.0,27.059722900390625,2.7591786
5.25,0.077889964,11.811517,-20.93012,0.0,0.0,0.58172953,0.53333336,0.8,-32.663746,0.0,32.66374588012695,2.5307057
5.5,1.5036868,13.404759,0.0,0.0,0.0,0.58172953,0.53333336,0.8,-11.901073,0.0,11.901073455810547,4.659793
5.75,0.0,12.752341,0.0,0.0,0.0,0.58172953,0.53333336,0.8,-12.752341,0.0,12.752341270446777,4.9919634
6.0,0.0,16.022032,0.0,0.0,0.0,0.58172953,0.53333336,0.8,-16.022032,0.0,16.022031784057617,4.6486454
6.25,3.7588642,18.422747,0.0,0.0,0.0,0.58172953,0.53333336,0.8,-14.663885,0.0,14.663885116577148,4.791251
6.5,3.582374,19.626501,0.0,0.0,0.0,0.58172953,0.53333336,0.8,-16.044125,0.0,16.044124603271484,4.6463256
6.75,2.6011882,20.614664,0.0,0.0,0.0,0.58172953,0.53333336,0.8,-18.013475,0.0,18.01347541809082,4.2195444
7.0,5.5408206,22.486246,0.0,-0.16953987,0.0,0.58172953,0.53615904,0.8,-17.114965,0.0,17.114965438842773,4.513983
7.25,5.6905494,27.014942,0.0,-0.09522939,0.0,0.58172953,0.5377462,0.8,-21.419624,0.0,21.41962432861328,2.3106213
7.5,11.516119,27.714727,0.0,-0.34505796,0.0,0.58172953,0.54349715,0.8,-16.543665,0.0,16.543664932250977,4.511828
7.75,9.357107,23.51278,0.0,0.0,0.0,0.58172953,0.54349715,0.8,-14.155674,0.0,14.15567398071289,4.835164
8.0,11.039696,25.617104,0.0,-0.06679344,0.0,0.58172953,0.5446104,0.8,-14.644201,0.0,14.644201278686523,4.7831655
8.25,14.034201,28.882858,0.0,-0.09576678,0.0,0.58172953,0.5462065,0.8,-14.944421,0.0,14.94442081451416,4.7191224
8.5,16.8296,26.079472,-5.0,-0.65146875,0.0,0.58735454,0.5570643,0.8,-14.901342,0.0,14.901342391967773,4.5773273
8.75,16.24552,27.278862,0.0,-0.42542958,0.0,0.58735454,0.5641548,0.8,-11.45877,0.0,11.458769798278809,4.9466443
9.0,18.33414,25.528444,-5.0,-0.41050553,0.0,0.59297955,0.5709966,0.8,-12.60481,0.0,12.604809761047363,4.7345457
9.25,20.111708,25.038227,0.0,-0.15552402,0.0,0.59297955,0.57358867,0.8,-5.0820446,0.0,5.08204460144043,5.442255
9.5,18.444887,25.358276,-5.0,0.0,0.0,0.59860456,0.57358867,0.8,-11.913389,0.0,11.913389205932617,4.7668796
9.75,18.90068,24.253468,-3.9986393,0.0,0.0,0.60310304,0.57358867,0.8,-9.351429,0.0,9.351428985595703,5.120103
10.0,18.749498,27.135666,-7.040546,0.0,0.0,0.61102366,0.57358867,0.8,-15.426714,0.0,15.426713943481445,3.836981
