Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,21.794441,0.0,0.0,0.0,0.2,0.2,0.2,-21.794441,0.0,21.79444122314453,1.5418543
0.25,0.0,18.250273,-5.0,0.0,-2.0,0.2059375,0.2,0.23518519,-25.250273,0.0,25.250272750854492,2.0147796
0.5,0.0,14.985673,-10.0,0.0,-4.0,0.21781251,0.2,0.30555555,-28.985672,0.0,28.985671997070312,2.522184
0.75,0.59970903,15.542468,-15.0,0.0,-5.0,0.23562501,0.2,0.3935185,-34.942757,0.0,34.94275665283203,2.3882322
1.0,0.0,11.561197,-20.0,0.0,-3.0,0.259375,0.2,0.44629627,-34.561195,0.0,34.561195373535156,3.1295195
1.25,0.0,11.9363,-16.427034,0.0,-1.0,0.27888212,0.2,0.46388885,-29.363335,0.0,29.36333465576172,3.1814182
1.5,0.39943302,11.585639,-21.427034,0.0,0.0,0.3043267,0.2,0.46388885,-32.613243,0.0,32.613243103027344,3.4599202
1.75,0.0,10.045738,-11.328487,0.0,0.0,0.3177793,0.2,0.46388885,-21.374226,0.0,21.374225616455078,3.5331094
2.0,0.0,11.905246,-16.328487,0.0,0.0,0.33716938,0.2,0.46388885,-28.233734,0.0,28.233734130859375,3.2705426
2.25,0.0,11.1163645,-21.328487,0.0,0.0,0.36249697,0.2,0.46388885,-32.44485,0.0,32.44485092163086,3.2852297
2.5,0.0,10.621865,-12.865744,0.0,0.0,0.37777504,0.2,0.46388885,-23.48761,0.0,23.48760986328125,3.1254056
2.75,3.0103643,10.98095,-17.865744,0.0,0.0,0.3989906,0.2,0.46388885,-25.83633,0.0,25.83633041381836,3.7140324
3.0,0.8640857,10.150289,-22.865744,0.0,0.0,0.42614368,0.2,0.46388885,-32.151947,0.0,32.151947021484375,3.5511332
3.25,2.640756,10.686489,-13.10272,0.0,0.0,0.44170317,0.2,0.46388885,-21.148453,0.0,21.148452758789062,3.5938973
3.5,1.0794234,13.32629,-18.10272,0.0,0.0,0.46320015,0.2,0.46388885,-30.349586,0.0,30.349586486816406,2.868619
3.75,1.6489398,8.771366,-23.10272,0.0,0.0,0.49063462,0.2,0.46388885,-30.225147,0.0,30.225147247314453,3.4870117
4.0,0.0,9.923723,-22.00717,0.0,0.0,0.51676816,0.2,0.46388885,-31.930893,0.0,31.930892944335938,3.1910086
4.25,0.0,9.923251,-14.582744,0.0,0.0,0.53408515,0.2,0.46388885,-24.505995,0.0,24.50599479675293,2.783657
4.5,2.5254247,11.666804,-19.582745,0.0,0.0,0.55733967,0.2,0.46388885,-28.724125,0.0,28.724124908447266,3.1256206
4.75,0.0,9.88897,-24.582745,0.0,0.0,0.5865317,0.2,0.46388885,-34.471714,0.0,34.47171401977539,2.847314
5.0,0.0,11.217449,-2.1005752,0.0,0.0,0.58902615,0.2,0.46388885,-13.318025,0.0,13.318024635314941,4.540607
5.25,0.16964427,11.9318905,-7.1005754,0.0,0.0,0.59745806,0.2,0.46388885,-18.86282,0.0,18.86281967163086,3.22601
5.5,2.6210382,13.568062,-2.1005754,0.0,0.0,0.5999525,0.2,0.46388885,-13.0476,0.0,13.047599792480469,4.9692955
5.75,0.0,12.971677,0.0,0.0,0.0,0.5999525,0.2,0.46388885,-12.971677,0.0,12.97167682647705,4.9842677
6.0,0.0,16.313696,0.0,0.0,0.0,0.5999525,0.2,0.46388885,-16.313696,0.0,16.313695907592773,4.654467
6.25,7.500376,18.806734,0.0,-0.10367149,0.0,0.5999525,0.20182386,0.46388885,-11.4100275,0.0,11.410027503967285,5.1298766
6.5,6.86352,20.126999,0.0,-0.13803387,0.0,0.5999525,0.20425223,0.46388885,-13.401513,0.0,13.40151309967041,4.9257555
6.75,5.437177,21.260536,0.0,0.0,0.0,0.5999525,0.20425223,0.46388885,-15.823358,0.0,15.823357582092285,4.7047005
7.0,12.033434,23.311428,0.0,-0.7182193,0.0,0.5999525,0.21688756,0.46388885,-11.996215,0.0,11.996214866638184,4.954307
7.25,10.3052635,28.05872,0.0,-0.46343622,0.0,0.5999525,0.22504061,0.46388885,-18.216894,0.0,18.216894149780273,4.3680134
7.5,19.071636,29.021872,0.0,-0.9670435,0.0,0.5999525,0.24205342,0.46388885,-10.917283,0.0,10.917283058166504,4.918148
7.75,17.456894,25.133461,0.0,-0.6307931,0.0,0.5999525,0.2531507,0.46388885,-8.307362,0.0,8.307361602783203,5.324404
8.0,21.844166,27.606531,-5.0,-0.95051587,0.0,0.60589004,0.26987273,0.46388885,-11.712881,0.0,11.712881088256836,4.8188696
8.25,24.48824,31.300629,0.0,-0.92735684,0.0,0.60589004,0.28618735,0.46388885,-7.7397475,0.0,7.739747524261475,5.222982
8.5,28.378803,28.988585,-5.0,-1.5588403,-1.5492408,0.61182755,0.3136114,0.491144,-8.717863,0.0,8.717863082885742,4.9331203
8.75,30.536728,30.744326,-10.0,-1.554625,-1.3117669,0.6237025,0.34096128,0.5142214,-13.07399,0.0,13.073989868164062,3.5481677
9.0,31.465193,29.615595,-5.0,-1.405033,-1.5700461,0.62964004,0.36567944,0.5418426,-6.125481,0.0,6.125481128692627,6.704034
9.25,32.831554,29.81062,-3.020935,-1.0801817,-1.556421,0.6332274,0.38468263,0.56922406,-2.6366034,0.0,2.636603355407715,6.583126
9.5,34.3108,30.87535,-3.4354477,-1.1127079,-1.849441,0.637307,0.40425804,0.6017605,-2.962151,0.0,2.962151050567627,6.7004766
9.75,37.711674,41.06422,0.0,-0.7625103,-1.7293749,0.637307,0.41767257,0.6321847,-5.844426,0.0,5.844426155090332,5.1627884
10.0,32.844357,40.655388,-2.228172,-0.25572443,-1.3137355,0.63995296,0.42217144,0.6552967,-11.608665,0.0,11.608665466308594,4.8318305
10.25,41.36152,45.60693,0.0,-0.63492656,-1.9768589,0.63995296,0.43334144,0.69007474,-6.8571997,0.0,6.857199668884277,5.0971017
10.5,36.777428,33.57616,-3.2012672,-1.5659708,-1.4560678,0.6437545,0.46089092,0.71569073,-3.022039,0.0,3.0220389366149902,6.5944676
10.75,38.06928,34.8687,-3.2005806,-2.1801248,-1.7285929,0.6475552,0.49924496,0.74610114,-3.9087198,0.0,3.908719778060913,6.704409
11.0,43.80368,33.885765,-8.200581,-2.3433232,-1.9048696,0.6572934,0.54047006,0.7796127,-2.530858,0.0,2.530858039855957,7.920956
11.25,45.798004,34.694866,-11.103138,-2.832738,-1.1588559,0.67047834,0.59030527,0.8,-3.9915957,0.0,3.99159574508667,8.478016
11.5,42.77106,37.287895,-6.103138,-2.108552,0.0,0.6777258,0.62740016,0.8,-2.7285202,0.0,2.728520154953003,6.913764
11.75,47.44213,41.379345,-6.062786,-2.2710376,0.0,0.6849254,0.6673536,0.8,-2.2710378,0.0,2.2710378170013428,6.969451
12.0,41.724598,41.10013,-1.0627861,-2.137882,0.0,0.68618745,0.70496446,0.8,-2.5762026,0.0,2.576202630996704,5.920827
12.25,40.93814,38.41968,-2.5184593,-1.7648759,0.0,0.6891781,0.7360132,0.8,-1.7648804,0.0,1.7648804187774658,6.254973
12.5,42.56799,40.92951,-1.6384811,-2.0663657,0.0,0.6911238,0.7723659,0.8,-2.066368,0.0,2.0663681030273438,6.1223474
12.75,44.026352,40.41052,-3.6158333,-1.5707788,0.0,0.6954176,0.8,0.8,-1.5707791,0.0,1.5707790851593018,6.42722
13.0,42.058304,42.537575,-7.1660147,0.0,0.0,0.7039272,0.8,0.8,-7.645289,0.0,7.645288944244385,4.7430286
13.25,44.77372,39.03172,-5.7420006,0.0,0.0,0.7107459,0.8,0.8,4.7683716e-07,4.76837158203125e-07,0.0,6.7483845
13.5,41.591854,42.40133,-0.7420006,0.0,0.0,0.711627,0.8,0.8,-1.5514758,0.0,1.5514757633209229,5.4515395
13.75,37.39968,42.6328,0.0,0.0,0.0,0.711627,0.8,0.8,-5.233128,0.0,5.233128070831299,5.2912364
14.0,40.296486,39.649273,-0.647213,0.0,0.0,0.71239555,0.8,0.8,2.1457672e-06,2.1457672119140625e-06,0.0,5.804976
14.25,35.735886,38.321487,-5.647213,0.0,0.0,0.7191016,0.8,0.8,-8.232816,0.0,8.232815742492676,5.112648
14.5,31.19785,38.85125,-0.647213,0.0,0.0,0.71987015,0.8,0.8,-8.3006115,0.0,8.30061149597168,5.1835647
14.75,32.503895,28.71751,-3.7863846,0.0,0.0,0.7243665,0.8,0.8,-3.8146973e-06,0.0,3.814697265625e-06,6.7067065
15.0,30.368107,27.85358,-2.5145264,0.0,0.0,0.7273525,0.8,0.8,1.4305115e-06,1.430511474609375e-06,0.0,6.4750743
15.25,28.874504,26.709639,-2.1648655,0.0,0.0,0.72992325,0.8,0.8,-1.4305115e-06,0.0,1.430511474609375e-06,6.4458356
15.5,18.163261,25.801304,-7.1648655,0.0,0.0,0.7384315,0.8,0.8,-14.802907,0.0,14.80290699005127,4.633606
15.75,22.917955,24.376383,-2.1648655,0.0,0.0,0.74100226,0.8,0.8,-3.6232958,0.0,3.623295783996582,5.847761
16.0,18.557913,22.1536,-7.1648655,0.0,0.0,0.7495105,0.8,0.8,-10.760554,0.0,10.760554313659668,5.4384756
16.25,17.27881,22.314236,-2.1648655,0.0,0.0,0.7520813,0.8,0.8,-7.2002907,0.0,7.200290679931641,5.6903014
16.5,12.086475,21.026772,0.0,0.0,0.0,0.7520813,0.8,0.8,-8.940296,0.0,8.940296173095703,5.6244855
16.75,9.355983,20.091635,-5.0,0.0,0.0,0.7580188,0.8,0.8,-15.735653,0.0,15.735652923583984,5.151361
17.0,8.13304,21.25618,0.0,0.0,0.0,0.7580188,0.8,0.8,-13.12314,0.0,13.123140335083008,5.2362676
17.25,7.3262014,22.683592,0.0,0.0,0.0,0.7580188,0.8,0.8,-15.357389,0.0,15.357389450073242,5.053804
17.5,0.7780588,21.895891,0.0,0.0,0.0,0.7580188,0.8,0.8,-21.11783,0.0,21.117830276489258,2.045595
