Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,21.794441776442785,-10.0,0.0,0.0,0.211875,0.2,0.2,-31.794441776442785,0.0,31.794441776442785,-161.53665
0.25,0.0,18.250273125174456,-20.0,0.0,0.0,0.235625,0.2,0.2,-38.25027312517446,0.0,38.25027312517446,-152.65115
0.5,0.0,14.985672143480294,-30.0,0.0,0.0,0.27125,0.2,0.2,-44.98567214348029,0.0,44.98567214348029,-144.93982
0.75,0.5997090320905462,15.542468218592534,-40.0,0.0,0.0,0.31875,0.2,0.2,-54.94275918650199,0.0,54.94275918650199,-150.75958
1.0,0.0,11.561196708581075,-30.0,0.0,0.0,0.354375,0.2,0.2,-41.56119670858108,0.0,41.56119670858108,-130.55702
1.25,0.0,11.936298990940857,-27.999999523162842,0.0,0.0,0.3876249994337559,0.2,0.2,-39.9362985141037,0.0,39.9362985141037,-70.132454
1.5,0.3994329940526085,11.585639007978095,-27.999999523162842,0.0,0.0,0.4208749988675118,0.2,0.2,-39.18620553708833,0.0,39.18620553708833,-63.782066
1.75,0.0,10.045737699848837,-27.999999523162842,0.0,0.0,0.4541249983012677,0.2,0.2,-38.04573722301168,0.0,38.04573722301168,-58.9921
2.0,0.0,11.905245923026106,-27.999999523162842,0.0,0.0,0.4873749977350236,0.2,0.2,-39.90524544618895,0.0,39.90524544618895,-66.80203
2.25,0.0,11.11636383818636,-27.999999523162842,0.0,0.0,0.5206249971687794,0.2,0.2,-39.1163633613492,0.0,39.1163633613492,-63.488728
2.5,0.0,10.621865328007171,-27.999999523162842,0.0,0.0,0.5538749966025353,0.2,0.2,-38.62186485117002,0.0,38.62186485117002,-61.411835
2.75,3.0103640436659234,10.980951021346431,-27.999999523162842,0.0,0.0,0.5871249960362911,0.2,0.2,-35.97058650084335,0.0,35.97058650084335,-51.332825
3.0,0.8640856599178995,10.150288233597616,-27.999999523162842,0.0,0.0,0.6203749954700469,0.2,0.2,-37.28620209684256,0.0,37.28620209684256,-55.80205
3.25,2.6407560707626927,10.68648942815749,-27.999999523162842,0.0,0.0,0.6536249949038028,0.2,0.2,-36.04573288055764,0.0,36.04573288055764,-51.82416
3.5,1.079423509639818,13.326289829083809,-27.999999523162842,0.0,0.0,0.6868749943375586,0.2,0.2,-40.24686584260684,0.0,40.24686584260684,-68.23684
3.75,1.6489398027686957,8.771365825561334,-27.999999523162842,0.0,0.0,0.7201249937713144,0.2,0.2,-35.12242554595548,0.0,35.12242554595548,-46.7226
4.0,0.0,9.923723609737625,-27.999999523162842,0.0,0.0,0.7533749932050703,0.2,0.2,-37.92372313290046,0.0,37.92372313290046,-58.479637
4.25,0.0,9.923250557432088,-27.999999523162842,0.0,0.0,0.7866249926388261,0.2,0.2,-37.923250080594926,0.0,37.923250080594926,-58.477654
