Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0,0,21.79442202,-10,0,0,0.211875,0.2,0.2,-31.79442202,0,31.79442202,-161.53658
0.25,0,18.25024006,-19.85781312,0,0,0.235456153,0.2,0.2,-38.10805318,0,38.10805318,-150.81471
0.5,0,14.98561736,-19.11486626,0,0,0.258155057,0.2,0.2,-34.10048362,0,34.10048362,-75.03687
0.75,0.599709032,15.54237835,-18.48245621,0,0,0.280102974,0.2,0.2,-33.42512552,0,33.42512552,-74.34161
1,0,11.56105074,-17.81888604,0,0,0.301262901,0.2,0.2,-29.37993679,0,29.37993679,-59.777367
1.25,0,11.93606428,-17.28772521,0,0,0.321792074,0.2,0.2,-29.22378949,0,29.22378949,-60.88585
1.5,0.399432994,11.58526534,-16.70578837,0,0,0.341630198,0.2,0.2,-27.89162072,0,27.89162072,-57.439934
1.75,0,10.04514874,-16.12983227,0,0,0.360784374,0.2,0.2,-26.17498101,0,26.17498101,-52.296944
2,0,11.90432686,-15.58380723,0,0,0.379290145,0.2,0.2,-27.48813409,0,27.48813409,-59.745754
2.25,0,11.11494392,-14.88181233,0,0,0.396962297,0.2,0.2,-25.99675625,0,25.99675625,-56.188328
2.5,0,10.61969343,-14.18073297,0,0,0.413801918,0.2,0.2,-24.80042639,0,24.80042639,-53.686493
2.75,3.010364044,10.97766196,-13.45921993,0,0,0.429784741,0.2,0.2,-21.42651785,0,21.42651785,-43.196815
3,0.86408566,10.14535693,-12.88455606,0,0,0.445085151,0.2,0.2,-22.16582733,0,22.16582733,-47.140083
3.25,2.640756071,10.67916948,-12.14155793,0,0,0.459503252,0.2,0.2,-20.17997134,0,20.17997134,-42.91117
3.5,1.07942351,13.31553233,-11.43861651,0,0,0.473086609,0.2,0.2,-23.67472534,0,23.67472534,-58.83248
3.75,1.648939803,8.755713762,-10.21057487,0,0,0.485211666,0.2,0.2,-17.31734882,0,17.31734882,-37.382404
4,0,9.901176593,-9.43046093,0,0,0.496410339,0.2,0.2,-19.33163752,0,19.33163752,-47.92041
4.25,0,9.891094439,-8.154090643,0,0,0.506093321,0.2,0.2,-18.04518508,0,18.04518508,-47.923073
4.5,2.525425069,11.62140068,-6.655951142,0,0,0.513997263,0.2,0.2,-15.75192675,0,15.75192675,-57.45448
4.75,0,9.825498707,-4.994275272,0,0,0.519927965,0.2,0.2,-14.81977398,0,14.81977398,-56.57358
5,0,11.12960105,-2.723147869,0,0,0.523161703,0.2,0.2,-13.85274892,0,13.85274892,-57.82777
5.25,0.16964427,11.81151611,0,0,0,0.523161703,0.2,0.2,-11.64187184,0,11.64187184,-54.43444
5.5,2.621038076,13.40476071,0,0,0,0.523161703,0.2,0.2,-10.78372263,0,10.78372263,-45.291634
5.75,0,12.75234091,0,0,0,0.523161703,0.2,0.2,-12.75234091,0,12.75234091,-53.559834
6,0,16.02203278,10,0,0,0.510003809,0.2,0.2,-6.022032784,0,6.022032784,-190.15424
6.25,7.500375837,18.42274832,10.92237248,0,0,0.495632266,0.2,0.2,0,0,0,-95.93781
6.5,6.863520205,19.6265008,12.7629806,0,0,0.47883887,0.2,0.2,-3.55E-15,0,3.55E-15,-113.3944
6.75,5.437176988,20.61466282,15.17748583,0,0,0.458868494,0.2,0.2,-3.55E-15,0,3.55E-15,-131.95459
7,12.03343348,22.48624923,10.45281575,0,0,0.445114789,0.2,0.2,-1.78E-15,0,1.78E-15,-116.17616
7.25,10.30526489,27.01494811,16.70968321,0,0,0.423128364,0.2,0.2,0,0,0,-174.67459
7.5,19.07163558,27.71473354,8.643097957,0,0,0.411755867,0.2,0.2,-3.55E-15,0,3.55E-15,-139.8616
7.75,17.45689447,23.5127929,6.055898435,0,0,0.403787579,0.2,0.2,-8.88E-16,0,8.88E-16,-71.59116
8,21.84416431,25.61712461,3.772960302,0,0,0.398823158,0.2,0.2,-4.44E-15,0,4.44E-15,-59.875225
8.25,24.48823961,28.88289505,4.394655432,0,0,0.393040716,0.2,0.2,0,0,0,-63.20497
8.5,28.37880243,26.07954381,-2.299258619,-2,-2,0.395771086,0.235185185,0.235185185,-4,0,4,-53.807602
8.75,30.53672794,27.27898323,-3.257744712,-3.257744712,-3.257744712,0.399639658,0.292497361,0.292497361,-6.515489423,0,6.515489423,-22.130556
9,31.46519108,25.5286588,-5.936532287,-5,-5,0.40668929,0.380460324,0.380460324,-10,0,10,-4.033572
9.25,32.8315542,25.03859293,-7.792961263,-5,-5,0.415943431,0.468423287,0.468423287,-10,0,10,22.825853
9.5,34.31079649,25.35889476,-8.951901726,-5,-5,0.426573815,0.55638625,0.55638625,-10,0,10,38.213795
9.75,37.71167575,24.25449652,-13.45717923,-5,-5,0.442554215,0.644349213,0.644349213,-10,0,10,91.871284
10,32.84435738,27.13735349,-5.70700389,-5,-5,0.449331282,0.732312175,0.732312175,-10,0,10,-36.053894
10.25,41.36151432,17.22067852,-15.70700389,-5,-5,0.467983349,0.8,0.8,-1.566168087,0,1.566168087,136.77144
10.5,36.77742663,17.305455,-19.47197163,-3,-3,0.491106316,0.8,0.8,-6,0,6,201.71074
10.75,38.06927692,15.68040143,-22.3888755,-1,-1,0.517693105,0.8,0.8,-2,0,2,241.77547
11,43.8036799,15.42281232,-28.38086758,0,0,0.551395386,0.8,0.8,3.55E-15,3.55E-15,0,299.62122
11.25,45.79800001,16.54695587,-29.25104414,0,0,0.586131,0.8,0.8,0,0,0,333.8166
11.5,42.77106033,18.85923242,-23.91182791,0,0,0.614526296,0.8,0.8,0,0,0,246.38365
11.75,47.44213198,17.9678201,-29.47431188,0,0,0.649527041,0.8,0.8,0,0,0,313.04785
12,41.72459439,15.37376968,-26.35082471,0,0,0.680818646,0.8,0.8,-3.55E-15,0,3.55E-15,292.30563
12.25,40.9381414,16.80374171,-24.13439969,0,0,0.709478245,0.8,0.8,0,0,0,267.6415
12.5,42.567985,16.09462123,-26.47336377,0,0,0.740915365,0.8,0.8,-3.55E-15,0,3.55E-15,297.01846
12.75,44.02635228,17.52717997,-26.49917231,0,0,0.772383132,0.8,0.8,3.55E-15,3.55E-15,0,298.6216
13,42.05830122,14.88754383,-27.17075739,0,0,0.8,0.8,0.8,-7.11E-15,0,7.11E-15,313.02615
13.25,44.77372084,17.58814494,-17.17075739,0,0,0.8,0.8,0.8,10.01481851,10.01481851,0,159.08957
13.5,41.59185195,18.10429677,-7.170757388,0,0,0.8,0.8,0.8,16.3167978,16.3167978,0,58.340633
13.75,37.39967816,16.37934292,0,0,0,0.8,0.8,0.8,21.02033524,21.02033524,0,21.138157
14,40.2964865,16.07374785,0,0,0,0.8,0.8,0.8,24.22273865,24.22273865,0,65.28426
14.25,35.73588695,17.3349023,0,0,0,0.8,0.8,0.8,18.40098464,18.40098464,0,43.266308
14.5,31.19785106,17.58722828,0,0,0,0.8,0.8,0.8,13.61062278,13.61062278,0,23.664148
14.75,32.50389154,19.04910659,0,0,0,0.8,0.8,0.8,13.45478495,13.45478495,0,20.524979
15,30.36810778,19.51233954,0,0,0,0.8,0.8,0.8,10.85576824,10.85576824,0,10.010459
15.25,28.87450295,19.82980702,0,0,0,0.8,0.8,0.8,9.044695928,9.044695928,0,2.8607168
15.5,18.16326097,20.50456131,0,0,0,0.8,0.8,0.8,-2.341300341,0,2.341300341,-42.147053
15.75,22.91795392,20.77034863,0,0,0,0.8,0.8,0.8,2.147605287,2.147605287,0,-21.894987
16,18.5579127,20.33002132,0,0,0,0.8,0.8,0.8,-1.77210862,0,1.77210862,-38.506706
16.25,17.27881126,22.34682139,0,0,0,0.8,0.8,0.8,-5.06801013,0,5.06801013,-53.883118
16.5,12.08647441,22.96861233,0,0,0,0.8,0.8,0.8,-10.88213792,0,10.88213792,-79.58235
16.75,9.355982195,23.97229326,0,0,0,0.8,0.8,0.8,-14.61631107,0,14.61631107,-102.44001
17,8.133040092,27.07860029,0,0,0,0.8,0.8,0.8,-18.9455602,0,18.9455602,-132.61893
17.25,7.326201226,30.42106512,0,0,0,0.8,0.8,0.8,-23.09486389,0,23.09486389,-161.66405
17.5,0.778058819,31.48940912,0,0,0,0.8,0.8,0.8,-30.7113503,0,30.7113503,-214.97945
17.75,0,35.44409065,10,0,0,0.786842105,0.8,0.8,-25.44409065,0,25.44409065,-326.10864
18,0,38.623475,20,0,2,0.760526316,0.8,0.761013645,-16.623475,0,16.623475,-179.95456
18.25,0.516331007,40.89016595,30,0,4,0.721052632,0.8,0.683040936,-6.373834948,0,6.373834948,14.180114
18.5,2.219615884,41.11331625,33.89370036,0,5,0.676455657,0.8,0.585575049,-7.11E-15,0,7.11E-15,177.94644
18.75,0,45.02194182,38.7756598,1.246282011,5,0.625435052,0.775706004,0.488109162,-7.11E-15,0,7.11E-15,208.10793
19,0.520292882,47.52917769,40,0.081651472,3,0.572803473,0.774114357,0.42962963,-3.927233332,0,3.927233332,153.24112
19.25,0,51.05565577,40,-0.386127941,1,0.520171895,0.780907349,0.410136452,-10.44178371,0,10.44178371,49.561695
19.5,2.892681412,54.60621396,40,-0.549303629,3,0.467540316,0.790571024,0.35165692,-9.262836177,0,9.262836177,83.59675
19.75,4.420545225,57.17440186,40,-0.68716526,1.570032537,0.414908737,0.8,0.321051997,-11.87098936,0,11.87098936,37.193615
20,0,61.37340743,40,0,-0.429967463,0.362277158,0.8,0.32861624,-21.8033749,0,21.8033749,-111.92341
20.25,1.688392961,65.42821952,40,0,1.570032537,0.309645579,0.8,0.298011317,-22.16979402,0,22.16979402,-102.14494
20.5,0,65.60039071,40,0,3.570032537,0.257014,0.8,0.228420039,-22.03035817,0,22.03035817,-82.276505
20.75,0,67.37400256,40,0.495464765,5,0.204382421,0.790341817,0.2,-21.87853779,0,21.87853779,-63.25558
21,2.441253734,68.57399379,40,2.284907699,3,0.2,0.745801706,0.2,-20.84783236,0,20.84783236,-53.942657
21.25,0,67.99763752,30,2.663198113,1,0.2,0.693887513,0.2,-34.33443941,0,34.33443941,-356.94305
21.5,0,63.55392864,20,4.663198113,0,0.2,0.602986965,0.2,-38.89073053,0,38.89073053,-464.72867
21.75,0,63.13624227,10,5,0,0.2,0.505521078,0.2,-48.13624227,0,48.13624227,-628.2025
22,1.422327047,58.71313008,0,5,0,0.2,0.408055191,0.2,-52.29080304,0,52.29080304,-776.30286
22.25,0,56.66407354,0,5,0,0.2,0.310589304,0.2,-51.66407354,0,51.66407354,-702.95953
22.5,0,48.82863848,0,5,0,0.2,0.213123417,0.2,-43.82863848,0,43.82863848,-597.50543
22.75,0,45.74929954,0,5,0,0.2,0.2,0.2,-40.74929954,0,40.74929954,-554.6243
23,0,43.99768619,0,3,0,0.2,0.2,0.2,-40.99768619,0,40.99768619,-175.39029
23.25,3.15998984,38.98566902,0,1,0,0.2,0.2,0.2,-34.82567918,0,34.82567918,-149.46785
23.5,2.882116436,34.67249556,0,0,0,0.2,0.2,0.2,-31.79037912,0,31.79037912,-134.51959
23.75,0,21.79442202,0,0,0,0.2,0.2,0.2,-27.56494115,0,27.56494115,-115.77275
,333.8700783,642.2684308,-160.773672,,,,,,-342.8524283,0,0,
,,,162.8903275,,,,,,34.77228801,34.77228801,342.8524283,
,,,2.116655523,,,,,,-308.0801402,,,
