Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,21.794422,0.0,0.0,0.0,0.2,0.2,0.2,-21.794422,0.0,21.794422149658203,-0.0814457
0.25,0.0,18.25024,0.0,0.0,0.0,0.2,0.2,0.2,-18.25024,0.0,18.250240325927734,0.3002348
0.5,0.0,14.985617,0.0,0.0,0.0,0.2,0.2,0.2,-14.985617,0.0,14.985616683959961,1.2559061
0.75,0.59970903,15.542378,0.0,0.0,0.0,0.2,0.2,0.2,-14.942669,0.0,14.942668914794922,1.2586118
1.0,0.0,11.56105,0.0,0.0,0.0,0.2,0.2,0.2,-11.56105,0.0,11.561050415039062,1.4716538
1.25,0.0,11.936064,0.0,0.0,0.0,0.2,0.2,0.2,-11.936064,0.0,11.936063766479492,1.448028
1.5,0.39943302,11.585265,0.0,0.0,0.0,0.2,0.2,0.2,-11.185832,0.0,11.185832023620605,1.4952927
1.75,0.0,10.045148,0.0,0.0,0.0,0.2,0.2,0.2,-10.045148,0.0,10.045147895812988,1.5671556
2.0,0.0,11.904328,0.0,0.0,0.0,0.2,0.2,0.2,-11.904328,0.0,11.904328346252441,1.4500275
2.25,0.0,11.114944,0.0,0.0,0.0,0.2,0.2,0.2,-11.114944,0.0,11.114944458007812,1.4997585
2.5,0.0,10.619695,0.0,0.0,0.0,0.2,0.2,0.2,-10.619695,0.0,10.619694709777832,1.5309592
2.75,3.0103643,10.977661,0.0,0.0,0.0,0.2,0.2,0.2,-7.967299,0.0,7.967298984527588,1.6821951
3.0,0.8640857,10.145358,-0.92212296,0.0,0.0,0.20109503,0.2,0.2,-10.203395,0.0,10.203394889831543,1.601484
3.25,2.640756,10.679169,-1.9317772,0.0,0.0,0.20338902,0.2,0.2,-9.97019,0.0,9.970190048217773,1.6478956
3.5,1.0794234,13.315534,-3.156652,0.0,0.0,0.20713754,0.2,0.2,-15.392761,0.0,15.39276123046875,1.3852899
3.75,1.6489398,8.755714,-4.310303,0.0,0.0,0.21225603,0.2,0.2,-11.417077,0.0,11.41707706451416,1.6936703
4.0,0.0,9.901176,-6.0356216,0.0,0.0,0.21942332,0.2,0.2,-15.936798,0.0,15.936798095703125,1.0436865
4.25,0.0,9.891095,-7.885852,0.0,0.0,0.22878778,0.2,0.2,-17.776947,0.0,17.776947021484375,0.7948579
4.5,2.5254247,11.621401,-8.0,0.0,0.0,0.23828778,0.2,0.2,-17.095976,0.0,17.095975875854492,0.99777573
4.75,0.0,9.8255,-8.0,0.0,0.0,0.24778777,0.2,0.2,-17.8255,0.0,17.82550048828125,0.80199367
5.0,0.0,11.1296015,-8.0,0.0,0.0,0.25728777,0.2,0.2,-19.1296,0.0,19.129600524902344,0.71983516
5.25,0.16964427,11.811517,-8.0,0.0,0.0,0.26678777,0.2,0.2,-19.641872,0.0,19.64187240600586,0.61256206
5.5,2.6210382,13.404759,-8.0,0.0,0.0,0.27628776,0.2,0.2,-18.783722,0.0,18.783721923828125,0.81662554
5.75,0.0,12.752341,-8.0,0.0,0.0,0.28578776,0.2,0.2,-20.752342,0.0,20.752342224121094,0.5426025
6.0,0.0,16.022034,0.0,0.0,0.0,0.28578776,0.2,0.2,-16.022034,0.0,16.02203369140625,0.47368646
6.25,7.500376,18.422747,0.0,0.0,0.0,0.28578776,0.2,0.2,-10.922372,0.0,10.922371864318848,1.003444
6.5,6.86352,19.626501,0.0,0.0,0.0,0.28578776,0.2,0.2,-12.762981,0.0,12.762981414794922,0.8086408
6.75,5.437177,20.614664,0.0,0.0,0.0,0.28578776,0.2,0.2,-15.177485,0.0,15.177485466003418,0.6063641
7.0,12.033434,22.486248,0.0,0.0,0.0,0.28578776,0.2,0.2,-10.452817,0.0,10.4528169631958,0.9061173
7.25,10.3052635,27.014944,0.0,0.0,0.0,0.28578776,0.2,0.2,-16.709682,0.0,16.70968246459961,0.3200327
7.5,19.071636,27.714733,0.0,0.0,0.0,0.28578776,0.2,0.2,-8.643098,0.0,8.643097877502441,0.9160756
7.75,17.456894,23.512794,0.0,0.0,0.0,0.28578776,0.2,0.2,-6.0558987,0.0,6.055898666381836,1.3290719
8.0,21.844166,25.617123,2.926625,0.0,0.0,0.28193694,0.2,0.2,-0.8463347,0.0,0.84633469581604,1.23392
8.25,24.48824,28.882898,0.0,0.0,0.0,0.28193694,0.2,0.2,-4.3946557,0.0,4.394655704498291,1.3427494
8.5,28.378803,26.079544,-2.2992592,0.0,0.0,0.2846673,0.2,0.2,-4.7683716e-07,0.0,4.76837158203125e-07,2.2859623
8.75,30.536728,27.278984,-3.2577438,0.0,0.0,0.2885359,0.2,0.2,4.7683716e-07,4.76837158203125e-07,0.0,2.5482523
9.0,31.465193,25.528656,-5.936537,0.0,0.0,0.29558554,0.2,0.2,-5.722046e-06,0.0,5.7220458984375e-06,3.5708053
9.25,32.831554,25.038591,-7.792963,0.0,0.0,0.3048397,0.2,0.2,-2.3841858e-06,0.0,2.384185791015625e-06,4.313216
