Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,21.794422,0.0,0.0,0.0,0.2,0.2,0.2,-21.794422,0.0,21.794422149658203,1.5418557
0.25,0.0,18.25024,-5.0,-2.0,-2.0,0.2059375,0.23518519,0.23518519,-27.25024,0.0,27.250240325927734,1.7084398
0.5,0.0,14.985617,-10.0,-4.0,-4.0,0.21781251,0.30555555,0.30555555,-32.98562,0.0,32.985618591308594,1.7121359
0.75,0.59970903,15.542378,-12.959988,-5.0,-5.0,0.23320249,0.3935185,0.3935185,-37.902657,0.0,37.90265655517578,1.4728643
1.0,0.0,11.56105,-11.358804,-5.0,-5.0,0.24669106,0.48148146,0.48148146,-32.919853,0.0,32.91985321044922,1.5253881
1.25,0.0,11.936064,-9.479767,-5.0,-5.0,0.25794828,0.5694444,0.5694444,-31.415833,0.0,31.41583251953125,1.2835834
1.5,0.39943302,11.585265,-7.8230815,-5.0,-5.0,0.2672382,0.6574074,0.6574074,-29.008913,0.0,29.008913040161133,1.5904092
1.75,0.0,10.045148,-2.8230815,-5.0,-5.0,0.2705906,0.7453704,0.7453704,-22.86823,0.0,22.86823081970215,2.191708
2.0,0.0,11.904328,0.0,-3.1052618,-3.1052618,0.2705906,0.8,0.8,-18.114851,0.0,18.114850997924805,4.3941765
2.25,0.0,11.114944,0.0,-1.1052618,-1.1052618,0.2705906,0.8,0.8,-13.325468,0.0,13.325468063354492,4.7279954
2.5,0.0,10.619695,0.0,0.0,0.0,0.2705906,0.8,0.8,-10.619695,0.0,10.619694709777832,4.877343
2.75,3.0103643,10.977661,0.0,0.0,0.0,0.2705906,0.8,0.8,-7.967299,0.0,7.967298984527588,5.049695
3.0,0.8640857,10.145358,0.0,0.0,0.0,0.2705906,0.8,0.8,-9.281272,0.0,9.281271934509277,4.98278
3.25,2.640756,10.679169,0.0,0.0,0.0,0.2705906,0.8,0.8,-8.038413,0.0,8.038413047790527,5.042533
3.5,1.0794234,13.315534,0.0,0.0,0.0,0.2705906,0.8,0.8,-12.236109,0.0,12.236108779907227,4.796625
3.75,1.6489398,8.755714,0.0,0.0,0.0,0.2705906,0.8,0.8,-7.106774,0.0,7.106773853302002,5.119503
4.0,0.0,9.901176,0.0,0.0,0.0,0.2705906,0.8,0.8,-9.901176,0.0,9.901176452636719,4.943726
4.25,0.0,9.891095,0.0,0.0,0.0,0.2705906,0.8,0.8,-9.891095,0.0,9.891095161437988,4.944361
4.5,2.5254247,11.621401,0.0,0.0,0.0,0.2705906,0.8,0.8,-9.095976,0.0,9.095975875854492,4.9944534
4.75,0.0,9.8255,0.0,0.0,0.0,0.2705906,0.8,0.8,-9.8255,0.0,9.825499534606934,4.9484935
5.0,0.0,11.1296015,0.0,0.0,0.0,0.2705906,0.8,0.8,-11.1296015,0.0,11.12960147857666,4.8663354
5.25,0.16964427,11.811517,0.0,0.0,0.0,0.2705906,0.8,0.8,-11.641873,0.0,11.641873359680176,4.834062
5.5,2.6210382,13.404759,0.0,0.0,0.0,0.2705906,0.8,0.8,-10.783723,0.0,10.783722877502441,4.5763903
5.75,0.0,12.752341,0.0,0.0,0.0,0.2705906,0.8,0.8,-12.752341,0.0,12.752341270446777,4.3696856
6.0,0.0,16.022034,0.0,0.0,0.0,0.2705906,0.8,0.8,-16.022034,0.0,16.02203369140625,4.0263677
6.25,7.500376,18.422747,0.0,0.0,0.0,0.2705906,0.8,0.8,-10.922372,0.0,10.922371864318848,4.5121
6.5,6.86352,19.626501,0.0,0.0,0.0,0.2705906,0.8,0.8,-12.762981,0.0,12.762981414794922,4.317322
6.75,5.437177,20.614664,0.0,0.0,0.0,0.2705906,0.8,0.8,-15.177485,0.0,15.177485466003418,4.115045
7.0,12.033434,22.486248,0.0,0.0,0.0,0.2705906,0.8,0.8,-10.452817,0.0,10.4528169631958,4.4147987
7.25,10.3052635,27.014944,0.0,0.0,0.0,0.2705906,0.8,0.8,-16.709682,0.0,16.70968246459961,3.8283997
7.5,19.071636,27.714733,0.0,0.0,0.0,0.2705906,0.8,0.8,-8.643098,0.0,8.643097877502441,4.4239902
7.75,17.456894,23.512794,0.0,0.0,0.0,0.2705906,0.8,0.8,-6.0558987,0.0,6.055898666381836,4.8377533
8.0,21.844166,25.617123,0.0,0.0,0.0,0.2705906,0.8,0.8,-3.7729597,0.0,3.7729597091674805,4.950389
8.25,24.48824,28.882898,0.0,0.0,0.0,0.2705906,0.8,0.8,-4.3946557,0.0,4.394655704498291,4.860103
8.5,28.378803,26.079544,-2.2992592,0.0,0.0,0.27332097,0.8,0.8,-4.7683716e-07,0.0,4.76837158203125e-07,5.4756274
8.75,30.536728,27.278984,-1.6288719,0.0,0.0,0.27525526,0.8,0.8,1.6288724,1.6288723945617676,0.0,5.313945
9.0,31.465193,25.528656,-2.9682684,0.0,0.0,0.27878007,0.8,0.8,2.9682627,2.9682626724243164,0.0,5.628582
9.25,32.831554,25.038591,-3.8964815,0.0,0.0,0.28340715,0.8,0.8,3.8964791,3.8964791297912598,0.0,5.834667
9.5,34.3108,25.358892,-4.475953,0.0,0.0,0.28872234,0.8,0.8,4.4759493,4.475949287414551,0.0,5.9651904
9.75,37.711674,24.254498,-6.728588,0.0,0.0,0.29671255,0.8,0.8,6.728591,6.728590965270996,0.0,6.6034217
10.0,32.844357,27.137354,-2.8535013,0.0,0.0,0.30010107,0.8,0.8,2.8535018,2.853501796722412,0.0,5.6347384
10.25,41.36152,17.220678,-7.8535013,0.0,0.0,0.3094271,0.8,0.8,16.287334,16.287334442138672,0.0,3.73988
10.5,36.777428,17.305454,-12.853501,0.0,0.0,0.32469064,0.8,0.8,6.61847,6.618470191955566,0.0,8.461134
10.75,38.06928,15.6804,-17.8535,0.0,0.0,0.34589168,0.8,0.8,4.5353775,4.535377502441406,0.0,9.854491
11.0,43.80368,15.4228115,-22.8535,0.0,0.0,0.37303022,0.8,0.8,5.5273666,5.527366638183594,0.0,10.0
11.25,45.798004,16.546955,-27.8535,0.0,0.0,0.40610623,0.8,0.8,1.3975449,1.3975448608398438,0.0,10.0
11.5,42.77106,18.859234,-20.685484,0.0,0.0,0.43067026,0.8,0.8,3.226345,3.2263450622558594,0.0,10.0
11.75,47.44213,17.967821,-25.685484,0.0,0.0,0.46117178,0.8,0.8,3.788828,3.788827896118164,0.0,10.0
12.0,41.724598,15.37377,-20.685484,0.0,0.0,0.48573577,0.8,0.8,5.6653404,5.665340423583984,0.0,10.0
12.25,40.93814,16.803741,-24.1344,0.0,0.0,0.51439536,0.8,0.8,-1.9073486e-06,0.0,1.9073486328125e-06,10.0
12.5,42.56799,16.094622,-19.1344,0.0,0.0,0.5371175,0.8,0.8,7.3389606,7.338960647583008,0.0,9.627346
12.75,44.026352,17.52718,-24.1344,0.0,0.0,0.56577706,0.8,0.8,2.364771,2.3647708892822266,0.0,10.0
13.0,42.058304,14.887545,-19.1344,0.0,0.0,0.5884992,0.8,0.8,8.036358,8.036357879638672,0.0,9.555094
13.25,44.77372,17.588146,-24.1344,0.0,0.0,0.6171588,0.8,0.8,3.0511742,3.0511741638183594,0.0,10.0
13.5,41.591854,18.104296,-23.487558,0.0,0.0,0.6450502,0.8,0.8,-1.9073486e-06,0.0,1.9073486328125e-06,10.0
13.75,37.39968,16.379343,-18.487558,0.0,0.0,0.6670042,0.8,0.8,2.5327759,2.53277587890625,0.0,10.0
14.0,40.296486,16.073748,-23.487558,0.0,0.0,0.6948957,0.8,0.8,0.7351818,0.7351818084716797,0.0,10.0
14.25,35.735886,17.334902,-18.487558,0.0,0.0,0.7168497,0.8,0.8,-0.086574554,0.0,0.08657455444335938,10.0
14.5,31.19785,17.587227,-13.610622,0.0,0.0,0.7330123,0.8,0.8,0.0,0.0,0.0,9.726381
14.75,32.503895,19.049109,-13.454786,0.0,0.0,0.7489899,0.8,0.8,0.0,0.0,0.0,9.723493
15.0,30.368107,19.512339,-10.855768,0.0,0.0,0.7618811,0.8,0.8,0.0,0.0,0.0,8.899418
15.25,28.874504,19.829807,-9.044697,0.0,0.0,0.7726217,0.8,0.8,0.0,0.0,0.0,8.397781
15.5,18.163261,20.504562,-14.044697,0.0,0.0,0.7892998,0.8,0.8,-16.385998,0.0,16.385997772216797,3.1849492
15.75,22.917955,20.770348,-9.044697,0.0,0.0,0.8,0.8,0.8,-6.897092,0.0,6.897091865539551,7.364577
16.0,18.557913,20.33002,-4.044697,0.0,0.0,0.8,0.8,0.8,-5.8168044,0.0,5.8168044090271,5.737706
16.25,17.27881,22.346819,0.0,0.0,0.0,0.8,0.8,0.8,-5.0680103,0.0,5.068010330200195,5.9146714
16.5,12.086475,22.968613,0.0,0.0,0.0,0.8,0.8,0.8,-10.882138,0.0,10.8821382522583,5.573154
16.75,9.355983,23.972294,0.0,0.0,0.0,0.8,0.8,0.8,-14.616311,0.0,14.616311073303223,5.2309
17.0,8.13304,27.0786,0.0,0.0,0.0,0.8,0.8,0.8,-18.945562,0.0,18.9455623626709,4.778216
17.25,7.3262014,30.421066,0.0,0.0,0.0,0.8,0.8,0.8,-23.094864,0.0,23.094863891601562,1.9225395
17.5,0.7780588,31.489408,0.0,0.0,0.0,0.8,0.8,0.8,-30.71135,0.0,30.711349487304688,0.020845642
17.75,0.0,35.44409,0.0,0.0,0.0,0.8,0.8,0.8,-35.44409,0.0,35.444091796875,-0.6941296
18.0,0.0,38.623474,0.0,0.0,0.0,0.8,0.8,0.8,-38.623474,0.0,38.62347412109375,-1.027965
18.25,0.516331,40.890163,0.0,0.0,0.0,0.8,0.8,0.8,-40.373833,0.0,40.37383270263672,-1.2117527
18.5,2.219616,41.113316,10.0,2.0,2.0,0.7868421,0.7610137,0.7610137,-24.8937,0.0,24.893699645996094,5.2190247
18.75,0.0,45.021942,20.0,4.0,4.0,0.7605263,0.683041,0.683041,-17.021942,0.0,17.021942138671875,10.0
19.0,0.5202929,47.529175,10.0,5.0,5.0,0.7473684,0.5855751,0.5855751,-27.008884,0.0,27.00888442993164,5.0174217
19.25,0.0,51.055653,20.0,5.0,5.0,0.7210526,0.48810923,0.48810923,-21.055656,0.0,21.05565643310547,10.0
19.5,2.8926811,54.60621,30.0,5.0,5.0,0.6815789,0.39064336,0.39064336,-11.7135315,0.0,11.713531494140625,10.0
19.75,4.420545,57.174404,20.0,5.0,5.0,0.65526307,0.2931775,0.2931775,-22.753853,0.0,22.75385284423828,10.0
20.0,0.0,61.37341,30.0,4.780005,4.780005,0.61578935,0.2,0.2,-21.813396,0.0,21.813396453857422,10.0
