Time_Hour,Solar_kW,Load_kW,BESS_Power_kW,HB1_Power_kW,HB2_Power_kW,BESS_SoC,HB1_SoC,HB2_SoC,Net_Grid_Power_kW,Grid_Export_kW,Grid_Import_kW,Instant_Reward
0.0,0.0,21.794422,0.0,0.0,0.0,0.2,0.2,0.2,-21.794422,0,21.794422,1.5418557
0.25,0.0,18.25024,-5.0,-2.0,-2.0,0.205625,0.23333333,0.23333333,-27.25024,0,27.25024,1.9486742
0.5,0.0,14.985617,-10.0,-4.0,-4.0,0.216875,0.3,0.3,-32.98562,0,32.98562,2.1935422
0.75,0.0,15.542378,-15.0,-5.0,-5.0,0.23375,0.38333336,0.38333336,-40.54238,0,40.54238,2.0139751
1.0,0.0,11.56105,-15.878315,-5.0,-5.0,0.2516131,0.4666667,0.4666667,-37.439365,0,37.439365,2.6181967
1.25,0.0,11.936064,-10.433761,-5.0,-5.0,0.26335108,0.55,0.55,-32.369827,0,32.369827,1.9354774
1.5,0.0,11.585265,-15.433761,-5.0,-5.0,0.28071406,0.6333333,0.6333333,-37.019028,0,37.019028,2.4665198
1.75,0.0,10.045148,-19.40713,-5.0,-5.0,0.3025471,0.71666664,0.71666664,-39.45228,0,39.45228,2.718114
2.0,0.0,11.904328,-5.0845475,-4.7368436,-4.7368436,0.3082672,0.795614,0.795614,-26.46256,0,26.46256,1.856375
2.25,0.0,11.114944,-10.084547,-2.7368436,-2.7368436,0.31961232,0.8,0.8,-26.673178,0,26.673178,2.403873
2.5,0.0,10.619695,-15.084547,-0.7368436,-0.7368436,0.33658245,0.8,0.8,-27.177929,0,27.177929,3.1514664
2.75,0.0,10.977661,-20.084547,0.0,0.0,0.35917756,0.8,0.8,-31.062208,0,31.062208,3.3999417
3.0,0.0,10.145358,-17.680956,0.0,0.0,0.37906864,0.8,0.8,-27.826313,0,27.826313,3.445078
3.25,0.0,10.679169,-22.680956,0.0,0.0,0.4045847,0.8,0.8,-33.360123,0,33.360123,3.3044574
3.5,0.0,13.315534,-11.927218,0.0,0.0,0.4180028,0.8,0.8,-25.242752,0,25.242752,2.7702534
3.75,0.0,8.755714,-16.92722,0.0,0.0,0.43704593,0.8,0.8,-25.682934,0,25.682934,3.2869954
4.0,0.0,9.901176,-21.92722,0.0,0.0,0.46171406,0.8,0.8,-31.828396,0,31.828396,3.3200521
4.25,0.0,9.891095,-15.006785,0.0,0.0,0.4785967,0.8,0.8,-24.89788,0,24.89788,2.944953
4.5,0.0,11.621401,-20.006786,0.0,0.0,0.5011043,0.8,0.8,-31.628187,0,31.628187,2.9437284
4.75,0.0,9.8255,-17.970158,0.0,0.0,0.5213207,0.8,0.8,-27.795658,0,27.795658,3.1144707
5.0,0.0,11.1296015,-22.970158,0.0,0.0,0.5471621,0.8,0.8,-34.09976,0,34.09976,2.8092103
5.25,0.0,11.811517,-8.30024,0.0,0.0,0.5564999,0.8,0.8,-20.111755,0,20.111755,2.947599
5.5,0.0,13.404759,-3.3002396,0.0,0.0,0.5602127,0.8,0.8,-16.704998,0,16.704998,3.4064004
5.75,0.0,12.752341,0.0,0.0,0.0,0.5602127,0.8,0.8,-12.752341,0,12.752341,4.9137816
6.0,0.0,16.022032,0.0,0.0,0.0,0.5602127,0.8,0.8,-16.022032,0,16.022032,4.605612
6.25,0.0,18.422747,0.0,0.0,0.0,0.5602127,0.8,0.8,-18.422747,0,18.422747,3.2535367
6.5,0.0,19.626501,0.0,0.0,0.0,0.5602127,0.8,0.8,-19.626501,0,19.626501,2.4671428
6.75,0.0,20.614664,0.0,0.0,0.0,0.5602127,0.8,0.8,-20.614664,0,20.614664,1.9233857
7.0,0.0,22.486246,0.0,0.0,0.0,0.5602127,0.8,0.8,-22.486246,0,22.486246,1.5068696
7.25,0.0,27.014942,0.0,0.0,0.0,0.5602127,0.8,0.8,-27.014942,0,27.014942,0.59135634
7.5,0.0,27.714727,0.0,0.0,0.0,0.5602127,0.8,0.8,-27.714727,0,27.714727,0.297879
7.75,0.0,23.51278,0.0,0.0,0.0,0.5602127,0.8,0.8,-23.51278,0,23.51278,0.9590832
8.0,0.0,25.617104,-5.0,0.0,0.0,0.5658377,0.8,0.8,-30.617104,0,30.617104,-0.4946988
8.25,0.0,28.882858,-5.8436584,0.0,0.0,0.5724118,0.8,0.8,-34.726517,0,34.726517,-1.0794092
8.5,0.0,26.079472,-3.8327072,0.0,0.0,0.5767236,0.8,0.8,-29.912178,0,29.912178,-0.35495254
8.75,0.0,27.278862,-5.0765953,0.0,0.0,0.5824348,0.8,0.8,-32.355457,0,32.355457,-0.5894218
9.0,0.0,25.528444,-4.4940577,0.0,0.0,0.58749056,0.8,0.8,-30.022503,0,30.022503,-0.105293825
9.25,0.0,25.038227,-6.240105,0.0,0.0,0.5945107,0.8,0.8,-31.278332,0,31.278332,-0.45244253
9.5,0.0,25.358276,-6.34709,0.0,0.0,0.60165113,0.8,0.8,-31.705366,0,31.705366,-0.4642299
9.75,0.0,24.253468,-6.3395977,0.0,0.0,0.6087832,0.8,0.8,-30.593065,0,30.593065,-0.32977307
10.0,0.0,27.135666,-6.1378255,0.0,0.0,0.61568826,0.8,0.8,-33.27349,0,33.27349,-0.59667623
10.25,0.0,17.21794,-3.161915,0.0,0.0,0.6192454,0.8,0.8,-20.379854,0,20.379854,1.8314747
10.5,0.0,17.301065,0.0,0.0,0.0,0.6192454,0.8,0.8,-17.301065,0,17.301065,3.235923
10.75,0.0,15.673459,0.0,0.0,0.0,0.6192454,0.8,0.8,-15.673459,0,15.673459,4.7602773
11.0,0.0,15.411975,0.0,0.0,0.0,0.6192454,0.8,0.8,-15.411975,0,15.411975,4.7877336
11.25,0.0,16.530252,0.0,0.0,0.0,0.6192454,0.8,0.8,-16.530252,0,16.530252,4.6703143
11.5,0.0,18.833817,0.0,0.0,0.0,0.6192454,0.8,0.8,-18.833817,0,18.833817,2.4484398
11.75,0.0,17.929647,0.0,0.0,0.0,0.6192454,0.8,0.8,-17.929647,0,17.929647,2.5433779
12.0,0.0,15.317173,0.0,0.0,0.0,0.6192454,0.8,0.8,-15.317173,0,15.317173,4.797688
12.25,0.0,16.720901,0.0,0.0,0.0,0.6192454,0.8,0.8,-16.720901,0,16.720901,3.7702959
12.5,0.0,15.974927,0.0,0.0,0.0,0.6192454,0.8,0.8,-15.974927,0,15.974927,4.7286234
12.75,0.0,17.356457,0.0,0.0,0.0,0.6192454,0.8,0.8,-17.356457,0,17.356457,3.263563
13.0,0.0,14.647158,0.0,0.0,0.0,0.6192454,0.8,0.8,-14.647158,0,14.647158,4.868039
13.25,0.0,17.254013,0.0,0.0,0.0,0.6192454,0.8,0.8,-17.254013,0,17.254013,3.2743194
13.5,0.0,17.645823,0.0,0.0,0.0,0.6192454,0.8,0.8,-17.645823,0,17.645823,2.5731797
13.75,0.0,15.75832,0.0,0.0,0.0,0.6192454,0.8,0.8,-15.75832,0,15.75832,4.751367
